Year,GEO,Age.group,Sex,Income.source,VALUE
1994,NL,35-44 yrs,Females,Total income,22300
1995,NL,35-44 yrs,Females,Total income,20800
1996,NL,35-44 yrs,Females,Total income,21100
1997,NL,35-44 yrs,Females,Total income,21300
1998,NL,35-44 yrs,Females,Total income,23600
1999,NL,35-44 yrs,Females,Total income,22200
2000,NL,35-44 yrs,Females,Total income,22800
2001,NL,35-44 yrs,Females,Total income,22200
2002,NL,35-44 yrs,Females,Total income,22400
2003,NL,35-44 yrs,Females,Total income,23400
2004,NL,35-44 yrs,Females,Total income,24200
2005,NL,35-44 yrs,Females,Total income,26100
2006,NL,35-44 yrs,Females,Total income,26500
2007,NL,35-44 yrs,Females,Total income,26400
2008,NL,35-44 yrs,Females,Total income,32300
2009,NL,35-44 yrs,Females,Total income,31300
2010,NL,35-44 yrs,Females,Total income,33100
2011,NL,35-44 yrs,Females,Total income,33400
2012,NL,35-44 yrs,Females,Total income,37200
2013,NL,35-44 yrs,Females,Total income,33600
2014,NL,35-44 yrs,Females,Total income,38000
2015,NL,35-44 yrs,Females,Total income,34900
2016,NL,35-44 yrs,Females,Total income,37400
2017,NL,35-44 yrs,Females,Total income,40100
2018,NL,35-44 yrs,Females,Total income,42200
1976,NL,35-44 yrs,Females,Market income,13400
1977,NL,35-44 yrs,Females,Market income,17900
1978,NL,35-44 yrs,Females,Market income,25500
1979,NL,35-44 yrs,Females,Market income,15200
1980,NL,35-44 yrs,Females,Market income,21400
1981,NL,35-44 yrs,Females,Market income,17600
1982,NL,35-44 yrs,Females,Market income,20200
1983,NL,35-44 yrs,Females,Market income,18100
1984,NL,35-44 yrs,Females,Market income,20200
1985,NL,35-44 yrs,Females,Market income,16500
1986,NL,35-44 yrs,Females,Market income,15200
1987,NL,35-44 yrs,Females,Market income,15600
1988,NL,35-44 yrs,Females,Market income,18700
1989,NL,35-44 yrs,Females,Market income,20200
1990,NL,35-44 yrs,Females,Market income,16900
1991,NL,35-44 yrs,Females,Market income,19800
1992,NL,35-44 yrs,Females,Market income,15100
1993,NL,35-44 yrs,Females,Market income,18200
1994,NL,35-44 yrs,Females,Market income,18800
1995,NL,35-44 yrs,Females,Market income,18700
1996,NL,35-44 yrs,Females,Market income,20600
1997,NL,35-44 yrs,Females,Market income,20700
1998,NL,35-44 yrs,Females,Market income,22500
1999,NL,35-44 yrs,Females,Market income,19600
2000,NL,35-44 yrs,Females,Market income,20600
2001,NL,35-44 yrs,Females,Market income,17800
2002,NL,35-44 yrs,Females,Market income,17000
2003,NL,35-44 yrs,Females,Market income,21100
2004,NL,35-44 yrs,Females,Market income,21200
2005,NL,35-44 yrs,Females,Market income,23600
2006,NL,35-44 yrs,Females,Market income,23200
2007,NL,35-44 yrs,Females,Market income,23300
2008,NL,35-44 yrs,Females,Market income,29600
2009,NL,35-44 yrs,Females,Market income,30800
2010,NL,35-44 yrs,Females,Market income,31300
2011,NL,35-44 yrs,Females,Market income,37000
2012,NL,35-44 yrs,Females,Market income,39800
2013,NL,35-44 yrs,Females,Market income,26900
2014,NL,35-44 yrs,Females,Market income,36900
2015,NL,35-44 yrs,Females,Market income,36200
2016,NL,35-44 yrs,Females,Market income,33000
2017,NL,35-44 yrs,Females,Market income,36900
2018,NL,35-44 yrs,Females,Market income,42300
1976,NL,35-44 yrs,Females,Employment income,13400
1977,NL,35-44 yrs,Females,Employment income,17600
1978,NL,35-44 yrs,Females,Employment income,23700
1979,NL,35-44 yrs,Females,Employment income,17400
1980,NL,35-44 yrs,Females,Employment income,22400
1981,NL,35-44 yrs,Females,Employment income,18800
1982,NL,35-44 yrs,Females,Employment income,21900
1983,NL,35-44 yrs,Females,Employment income,19900
1984,NL,35-44 yrs,Females,Employment income,20300
1985,NL,35-44 yrs,Females,Employment income,17900
1986,NL,35-44 yrs,Females,Employment income,15700
1987,NL,35-44 yrs,Females,Employment income,15600
1988,NL,35-44 yrs,Females,Employment income,18800
1989,NL,35-44 yrs,Females,Employment income,20400
1990,NL,35-44 yrs,Females,Employment income,17200
1991,NL,35-44 yrs,Females,Employment income,19300
1992,NL,35-44 yrs,Females,Employment income,14800
1993,NL,35-44 yrs,Females,Employment income,17800
1994,NL,35-44 yrs,Females,Employment income,20500
1995,NL,35-44 yrs,Females,Employment income,19000
1996,NL,35-44 yrs,Females,Employment income,22500
1997,NL,35-44 yrs,Females,Employment income,20700
1998,NL,35-44 yrs,Females,Employment income,21700
1999,NL,35-44 yrs,Females,Employment income,19600
2000,NL,35-44 yrs,Females,Employment income,21000
2001,NL,35-44 yrs,Females,Employment income,18500
2002,NL,35-44 yrs,Females,Employment income,16800
2003,NL,35-44 yrs,Females,Employment income,21500
2004,NL,35-44 yrs,Females,Employment income,23100
2005,NL,35-44 yrs,Females,Employment income,24400
2006,NL,35-44 yrs,Females,Employment income,23200
2007,NL,35-44 yrs,Females,Employment income,24000
2008,NL,35-44 yrs,Females,Employment income,29500
2009,NL,35-44 yrs,Females,Employment income,31500
2010,NL,35-44 yrs,Females,Employment income,32000
2011,NL,35-44 yrs,Females,Employment income,37000
2012,NL,35-44 yrs,Females,Employment income,41100
2013,NL,35-44 yrs,Females,Employment income,26200
2014,NL,35-44 yrs,Females,Employment income,34600
2015,NL,35-44 yrs,Females,Employment income,37600
2016,NL,35-44 yrs,Females,Employment income,33400
2017,NL,35-44 yrs,Females,Employment income,36900
2018,NL,35-44 yrs,Females,Employment income,42200
1976,NL,35-44 yrs,Females,"Wages, salaries and commissions",12500
1977,NL,35-44 yrs,Females,"Wages, salaries and commissions",17900
1978,NL,35-44 yrs,Females,"Wages, salaries and commissions",23700
1979,NL,35-44 yrs,Females,"Wages, salaries and commissions",17600
1980,NL,35-44 yrs,Females,"Wages, salaries and commissions",22400
1981,NL,35-44 yrs,Females,"Wages, salaries and commissions",19300
1982,NL,35-44 yrs,Females,"Wages, salaries and commissions",23300
1983,NL,35-44 yrs,Females,"Wages, salaries and commissions",19900
1984,NL,35-44 yrs,Females,"Wages, salaries and commissions",21100
1985,NL,35-44 yrs,Females,"Wages, salaries and commissions",18800
1986,NL,35-44 yrs,Females,"Wages, salaries and commissions",16300
1987,NL,35-44 yrs,Females,"Wages, salaries and commissions",16000
1988,NL,35-44 yrs,Females,"Wages, salaries and commissions",18700
1989,NL,35-44 yrs,Females,"Wages, salaries and commissions",20000
1990,NL,35-44 yrs,Females,"Wages, salaries and commissions",17400
1991,NL,35-44 yrs,Females,"Wages, salaries and commissions",19700
1992,NL,35-44 yrs,Females,"Wages, salaries and commissions",14800
1993,NL,35-44 yrs,Females,"Wages, salaries and commissions",17700
1994,NL,35-44 yrs,Females,"Wages, salaries and commissions",21000
1995,NL,35-44 yrs,Females,"Wages, salaries and commissions",20800
1996,NL,35-44 yrs,Females,"Wages, salaries and commissions",23200
1997,NL,35-44 yrs,Females,"Wages, salaries and commissions",20900
1998,NL,35-44 yrs,Females,"Wages, salaries and commissions",22200
1999,NL,35-44 yrs,Females,"Wages, salaries and commissions",19600
2000,NL,35-44 yrs,Females,"Wages, salaries and commissions",21600
2001,NL,35-44 yrs,Females,"Wages, salaries and commissions",20300
2002,NL,35-44 yrs,Females,"Wages, salaries and commissions",19100
2003,NL,35-44 yrs,Females,"Wages, salaries and commissions",22900
2004,NL,35-44 yrs,Females,"Wages, salaries and commissions",23500
2005,NL,35-44 yrs,Females,"Wages, salaries and commissions",24900
2006,NL,35-44 yrs,Females,"Wages, salaries and commissions",24500
2007,NL,35-44 yrs,Females,"Wages, salaries and commissions",25200
2008,NL,35-44 yrs,Females,"Wages, salaries and commissions",30700
2009,NL,35-44 yrs,Females,"Wages, salaries and commissions",32500
2010,NL,35-44 yrs,Females,"Wages, salaries and commissions",32000
2011,NL,35-44 yrs,Females,"Wages, salaries and commissions",39600
2012,NL,35-44 yrs,Females,"Wages, salaries and commissions",41800
2013,NL,35-44 yrs,Females,"Wages, salaries and commissions",26700
2014,NL,35-44 yrs,Females,"Wages, salaries and commissions",37800
2015,NL,35-44 yrs,Females,"Wages, salaries and commissions",43600
2016,NL,35-44 yrs,Females,"Wages, salaries and commissions",33400
2017,NL,35-44 yrs,Females,"Wages, salaries and commissions",38700
2018,NL,35-44 yrs,Females,"Wages, salaries and commissions",42300
1976,NL,35-44 yrs,Females,Self-employment income,
1977,NL,35-44 yrs,Females,Self-employment income,
1978,NL,35-44 yrs,Females,Self-employment income,
1979,NL,35-44 yrs,Females,Self-employment income,
1980,NL,35-44 yrs,Females,Self-employment income,
1981,NL,35-44 yrs,Females,Self-employment income,
1982,NL,35-44 yrs,Females,Self-employment income,
1983,NL,35-44 yrs,Females,Self-employment income,
1984,NL,35-44 yrs,Females,Self-employment income,
1985,NL,35-44 yrs,Females,Self-employment income,
1986,NL,35-44 yrs,Females,Self-employment income,
1987,NL,35-44 yrs,Females,Self-employment income,4800
1988,NL,35-44 yrs,Females,Self-employment income,10600
1989,NL,35-44 yrs,Females,Self-employment income,11400
1990,NL,35-44 yrs,Females,Self-employment income,6500
1991,NL,35-44 yrs,Females,Self-employment income,
1992,NL,35-44 yrs,Females,Self-employment income,
1993,NL,35-44 yrs,Females,Self-employment income,9400
1994,NL,35-44 yrs,Females,Self-employment income,15100
1995,NL,35-44 yrs,Females,Self-employment income,
1996,NL,35-44 yrs,Females,Self-employment income,
1997,NL,35-44 yrs,Females,Self-employment income,10100
1998,NL,35-44 yrs,Females,Self-employment income,
1999,NL,35-44 yrs,Females,Self-employment income,
2000,NL,35-44 yrs,Females,Self-employment income,
2001,NL,35-44 yrs,Females,Self-employment income,
2002,NL,35-44 yrs,Females,Self-employment income,
2003,NL,35-44 yrs,Females,Self-employment income,
2004,NL,35-44 yrs,Females,Self-employment income,
2005,NL,35-44 yrs,Females,Self-employment income,
2006,NL,35-44 yrs,Females,Self-employment income,
2007,NL,35-44 yrs,Females,Self-employment income,
2008,NL,35-44 yrs,Females,Self-employment income,
2009,NL,35-44 yrs,Females,Self-employment income,
2010,NL,35-44 yrs,Females,Self-employment income,
2011,NL,35-44 yrs,Females,Self-employment income,
2012,NL,35-44 yrs,Females,Self-employment income,
2013,NL,35-44 yrs,Females,Self-employment income,
2014,NL,35-44 yrs,Females,Self-employment income,
2015,NL,35-44 yrs,Females,Self-employment income,
2016,NL,35-44 yrs,Females,Self-employment income,
2017,NL,35-44 yrs,Females,Self-employment income,
2018,NL,35-44 yrs,Females,Self-employment income,
1976,NL,35-44 yrs,Females,Government transfers,4500
1977,NL,35-44 yrs,Females,Government transfers,5600
1978,NL,35-44 yrs,Females,Government transfers,5400
1979,NL,35-44 yrs,Females,Government transfers,5100
1980,NL,35-44 yrs,Females,Government transfers,2600
1981,NL,35-44 yrs,Females,Government transfers,2800
1982,NL,35-44 yrs,Females,Government transfers,3300
1983,NL,35-44 yrs,Females,Government transfers,2300
1984,NL,35-44 yrs,Females,Government transfers,3600
1985,NL,35-44 yrs,Females,Government transfers,3300
1986,NL,35-44 yrs,Females,Government transfers,4400
1987,NL,35-44 yrs,Females,Government transfers,4900
1988,NL,35-44 yrs,Females,Government transfers,5000
1989,NL,35-44 yrs,Females,Government transfers,4800
1990,NL,35-44 yrs,Females,Government transfers,4700
1991,NL,35-44 yrs,Females,Government transfers,4400
1992,NL,35-44 yrs,Females,Government transfers,6200
1993,NL,35-44 yrs,Females,Government transfers,4900
1994,NL,35-44 yrs,Females,Government transfers,4000
1995,NL,35-44 yrs,Females,Government transfers,3400
1996,NL,35-44 yrs,Females,Government transfers,3300
1997,NL,35-44 yrs,Females,Government transfers,3000
1998,NL,35-44 yrs,Females,Government transfers,3200
1999,NL,35-44 yrs,Females,Government transfers,5500
2000,NL,35-44 yrs,Females,Government transfers,4500
2001,NL,35-44 yrs,Females,Government transfers,5500
2002,NL,35-44 yrs,Females,Government transfers,5900
2003,NL,35-44 yrs,Females,Government transfers,5600
2004,NL,35-44 yrs,Females,Government transfers,4900
2005,NL,35-44 yrs,Females,Government transfers,3900
2006,NL,35-44 yrs,Females,Government transfers,4200
2007,NL,35-44 yrs,Females,Government transfers,4300
2008,NL,35-44 yrs,Females,Government transfers,4300
2009,NL,35-44 yrs,Females,Government transfers,4500
2010,NL,35-44 yrs,Females,Government transfers,4500
2011,NL,35-44 yrs,Females,Government transfers,5500
2012,NL,35-44 yrs,Females,Government transfers,4600
2013,NL,35-44 yrs,Females,Government transfers,5700
2014,NL,35-44 yrs,Females,Government transfers,
2015,NL,35-44 yrs,Females,Government transfers,3800
2016,NL,35-44 yrs,Females,Government transfers,5400
2017,NL,35-44 yrs,Females,Government transfers,6200
2018,NL,35-44 yrs,Females,Government transfers,4400
1976,NL,45-54 yrs,Both sexes,Total income,35100
1977,NL,45-54 yrs,Both sexes,Total income,32500
1978,NL,45-54 yrs,Both sexes,Total income,27300
1979,NL,45-54 yrs,Both sexes,Total income,33400
1980,NL,45-54 yrs,Both sexes,Total income,33200
1981,NL,45-54 yrs,Both sexes,Total income,34200
1982,NL,45-54 yrs,Both sexes,Total income,32900
1983,NL,45-54 yrs,Both sexes,Total income,30200
1984,NL,45-54 yrs,Both sexes,Total income,31400
1985,NL,45-54 yrs,Both sexes,Total income,32700
1986,NL,45-54 yrs,Both sexes,Total income,30900
1987,NL,45-54 yrs,Both sexes,Total income,32800
1988,NL,45-54 yrs,Both sexes,Total income,35300
1989,NL,45-54 yrs,Both sexes,Total income,34700
1990,NL,45-54 yrs,Both sexes,Total income,33300
1991,NL,45-54 yrs,Both sexes,Total income,33800
1992,NL,45-54 yrs,Both sexes,Total income,34700
1993,NL,45-54 yrs,Both sexes,Total income,29800
1994,NL,45-54 yrs,Both sexes,Total income,31400
1995,NL,45-54 yrs,Both sexes,Total income,31000
1996,NL,45-54 yrs,Both sexes,Total income,31000
1997,NL,45-54 yrs,Both sexes,Total income,30400
1998,NL,45-54 yrs,Both sexes,Total income,31900
1999,NL,45-54 yrs,Both sexes,Total income,32300
2000,NL,45-54 yrs,Both sexes,Total income,31400
2001,NL,45-54 yrs,Both sexes,Total income,32700
2002,NL,45-54 yrs,Both sexes,Total income,33600
2003,NL,45-54 yrs,Both sexes,Total income,33200
2004,NL,45-54 yrs,Both sexes,Total income,31200
2005,NL,45-54 yrs,Both sexes,Total income,31600
2006,NL,45-54 yrs,Both sexes,Total income,34100
2007,NL,45-54 yrs,Both sexes,Total income,36800
2008,NL,45-54 yrs,Both sexes,Total income,34600
2009,NL,45-54 yrs,Both sexes,Total income,36100
2010,NL,45-54 yrs,Both sexes,Total income,36700
2011,NL,45-54 yrs,Both sexes,Total income,41700
2012,NL,45-54 yrs,Both sexes,Total income,40000
2013,NL,45-54 yrs,Both sexes,Total income,39800
2014,NL,45-54 yrs,Both sexes,Total income,45100
2015,NL,45-54 yrs,Both sexes,Total income,47000
2016,NL,45-54 yrs,Both sexes,Total income,47600
2017,NL,45-54 yrs,Both sexes,Total income,50900
2018,NL,45-54 yrs,Both sexes,Total income,48900
1976,NL,45-54 yrs,Both sexes,Market income,42200
1977,NL,45-54 yrs,Both sexes,Market income,32700
1978,NL,45-54 yrs,Both sexes,Market income,29200
1979,NL,45-54 yrs,Both sexes,Market income,31000
1980,NL,45-54 yrs,Both sexes,Market income,32500
1981,NL,45-54 yrs,Both sexes,Market income,33700
1982,NL,45-54 yrs,Both sexes,Market income,31600
1983,NL,45-54 yrs,Both sexes,Market income,27600
1984,NL,45-54 yrs,Both sexes,Market income,30500
1985,NL,45-54 yrs,Both sexes,Market income,31700
1986,NL,45-54 yrs,Both sexes,Market income,28500
1987,NL,45-54 yrs,Both sexes,Market income,28500
1988,NL,45-54 yrs,Both sexes,Market income,35500
1989,NL,45-54 yrs,Both sexes,Market income,33400
1990,NL,45-54 yrs,Both sexes,Market income,28900
1991,NL,45-54 yrs,Both sexes,Market income,29700
1992,NL,45-54 yrs,Both sexes,Market income,30400
1993,NL,45-54 yrs,Both sexes,Market income,27900
1994,NL,45-54 yrs,Both sexes,Market income,32400
1995,NL,45-54 yrs,Both sexes,Market income,33800
1996,NL,45-54 yrs,Both sexes,Market income,31900
1997,NL,45-54 yrs,Both sexes,Market income,30900
1998,NL,45-54 yrs,Both sexes,Market income,33400
1999,NL,45-54 yrs,Both sexes,Market income,34600
2000,NL,45-54 yrs,Both sexes,Market income,34900
2001,NL,45-54 yrs,Both sexes,Market income,34300
2002,NL,45-54 yrs,Both sexes,Market income,34200
2003,NL,45-54 yrs,Both sexes,Market income,36000
2004,NL,45-54 yrs,Both sexes,Market income,33200
2005,NL,45-54 yrs,Both sexes,Market income,30100
2006,NL,45-54 yrs,Both sexes,Market income,32900
2007,NL,45-54 yrs,Both sexes,Market income,38000
2008,NL,45-54 yrs,Both sexes,Market income,35100
2009,NL,45-54 yrs,Both sexes,Market income,36900
2010,NL,45-54 yrs,Both sexes,Market income,40100
2011,NL,45-54 yrs,Both sexes,Market income,42100
2012,NL,45-54 yrs,Both sexes,Market income,40500
2013,NL,45-54 yrs,Both sexes,Market income,41900
2014,NL,45-54 yrs,Both sexes,Market income,46400
2015,NL,45-54 yrs,Both sexes,Market income,46700
2016,NL,45-54 yrs,Both sexes,Market income,49400
2017,NL,45-54 yrs,Both sexes,Market income,52600
2018,NL,45-54 yrs,Both sexes,Market income,52700
1976,NL,45-54 yrs,Both sexes,Employment income,40900
1977,NL,45-54 yrs,Both sexes,Employment income,33500
1978,NL,45-54 yrs,Both sexes,Employment income,30000
1979,NL,45-54 yrs,Both sexes,Employment income,31000
1980,NL,45-54 yrs,Both sexes,Employment income,32700
1981,NL,45-54 yrs,Both sexes,Employment income,34800
1982,NL,45-54 yrs,Both sexes,Employment income,31800
1983,NL,45-54 yrs,Both sexes,Employment income,27600
1984,NL,45-54 yrs,Both sexes,Employment income,30900
1985,NL,45-54 yrs,Both sexes,Employment income,31700
1986,NL,45-54 yrs,Both sexes,Employment income,28500
1987,NL,45-54 yrs,Both sexes,Employment income,27800
1988,NL,45-54 yrs,Both sexes,Employment income,33700
1989,NL,45-54 yrs,Both sexes,Employment income,33600
1990,NL,45-54 yrs,Both sexes,Employment income,28900
1991,NL,45-54 yrs,Both sexes,Employment income,30800
1992,NL,45-54 yrs,Both sexes,Employment income,30600
1993,NL,45-54 yrs,Both sexes,Employment income,29000
1994,NL,45-54 yrs,Both sexes,Employment income,32700
1995,NL,45-54 yrs,Both sexes,Employment income,36300
1996,NL,45-54 yrs,Both sexes,Employment income,33000
